,cq,baseline,plateau,slope,inflection,asymmetry,drift,CurveCall
238401,38.92844563895,17.045820775963,36.262519133308,-0.42068125137024,34.643579529525,5.5,0.031372640593013,True
158013,38.898413682866,20.537650584868,43.178210000266,-0.4366077969401,34.76985058917,5.5,0.086233665109799,True
50044,47.264386373204,16.651004559,32.586727926082,-0.53740071535401,45.274822066703,3.5570427639459,0.070685997363143,False
120145,38.253079796784,21.856011306482,42.489222377184,-0.44519435987066,34.204145220456,5.5,0.019049585606291,True
23689,39.543848675933,15.888971713702,36.080485247909,-0.39158473408252,34.940597629668,5.5,0.048001452650014,True
123886,21.409802826614,16.620401890242,19.778038766547,-0.062191732197658,0.0,4.1434044447446,-3.8370245447259e-06,False
38285,39.432239309979,21.916571780997,42.599588462549,-0.44044501401303,35.339644821412,5.5,0.057496189063774,True
243212,15.550503499365,17.318419299799,18.046842820747,-0.22834986775555,32.65973432139,0.5,0.01301292191529,False
158015,40.060052117212,12.442988878058,27.994661680095,-0.40003268189174,35.554013189736,5.5,0.049646010306236,True
124162,38.446186688309,18.692268689348,33.524715383643,-0.44131071492158,34.361620472446,5.5,0.011825886916836,True
21966,4.8503219991672,17.549149094052,23.116713234859,-0.12417021642851,36.31431318789,0.5,-0.0068641438252347,False
85639,45.649179573283,15.354358870751,28.25452640695,-0.48637870348042,41.943090421007,5.5,0.025717574426936,False
336265,38.6336007103,20.231386253873,49.687578747107,-0.4452731176432,34.585382290092,5.5,0.13148050238795,True
374796,,12.662534969221,13.305502965696,-0.01,34.252604420694,3.6673516831953,0.036298517677467,False
24931,33.717829192829,13.094954155782,13.800494639315,-0.01,42.180098789984,1.9176710958633,0.038659864896064,False
201026,38.22619605091,19.53547869388,37.847080132653,-0.45516762656325,34.265978470242,5.5,0.042525816029399,True
266292,37.937629664099,13.989646252359,27.707193590945,-0.4718832219462,34.117695508712,5.5,0.026494441616379,True
288743,38.374631943239,16.574552647296,35.886300366562,-0.4409287552373,34.286527424184,5.5,0.042964818285983,True
17402,,22.123498851424,30.786033367546,-0.62750850805439,48.369667599144,5.5,0.038653123483902,False
177511,37.773217254135,23.798390516538,44.911731238931,-0.39494800417682,33.209166245386,5.5,0.0404689049278,True
354678,,19.47368354289,20.58715144567,-0.13608675029543,15.732634347007,5.5,-0.018471241913066,False
55043,38.894177322706,20.443824902007,45.768944351774,-0.4801554496316,35.140053864877,5.5,0.061800544980024,True
25501,38.046572065283,22.932439730131,42.639343718022,-0.5039628870861,34.469795117899,5.5,0.029546696076468,True
181991,37.808773035035,21.573327911483,47.151647001448,-0.43675897483477,33.681638984616,5.5,0.058554274584067,True
99013,46.903574102937,15.961033253098,32.484530521374,-0.4230179623765,42.642377186523,5.5,0.025505844422658,False
181980,,20.804815818693,24.541422885827,-0.51769493096103,60.0,0.5,0.0242234454427,False
291994,47.339049589198,17.976139731966,26.54796638988,-0.77003526650324,48.086282958501,1.5195307128944,0.044555017410058,False
434811,38.119487523802,14.337076636735,33.239445463467,-0.47582419808549,34.331191669747,5.5,0.061998856643817,True
162015,37.836482075122,18.065282288848,35.60351458707,-0.46904904304929,33.993466374358,5.5,0.062739782239796,True
163803,,20.478212159666,21.810863891329,-0.01,41.384222884841,1.0610362971614,0.071682444675493,False
276866,37.946563212523,16.891528101158,35.296825910049,-0.45871710082939,34.016989116403,5.5,0.016420811060646,True
149435,37.921935754179,22.770959966022,50.210673525049,-0.43828706274351,33.809190957234,5.5,0.02330981605683,True
